Date,Maximum Temperature,,,,,,,,,
7/13/20,84,,,,,,,,,
7/14/20,86,,,,,,,,,
7/15/20,88,,,,,,,,,
7/16/20,85,,,,,,,,,
7/17/20,90,,,,,,,,,
7/18/20,91,,,,,,,,,
7/19/20,84,,,,,,,,,
7/20/20,87,,,,,,,,,
7/21/20,83,,,,,,,,,
7/22/20,88,,,,,,,,,
7/23/20,83,,,,,,,,,
7/24/20,87,,,,,,,,,
7/25/20,92,,,,,,,,,
7/26/20,96,,,,,,,,,
7/27/20,87,,,,,,,,,
7/28/20,89,,,,,,,,,
7/29/20,91,,,,,,,,,
7/30/20,83,,,,,,,,,
7/31/20,82,,,,,,,,,
8/1/20,80,,,,,,,,,
8/2/20,86,,,,,,,,,
8/3/20,72,,,,,,,,,
8/4/20,76,,,,,,,,,
8/5/20,78,,,,,,,,,
8/6/20,82,,,,,,,,,
8/7/20,86,,,,,,,,,
8/8/20,89,,,,,,,,,
8/9/20,93,,,,,,,,,
8/10/20,91,,,,,,,,,
8/11/20,85,,,,,,,,,
8/12/20,86,,,,,,,,,
8/13/20,87,,,,,,,,,
8/14/20,90,,,,,,,,,
8/15/20,91,,,,,,,,,
8/16/20,86,,,,,,,,,
8/17/20,86,,,,,,,,,
8/18/20,78,,,,,,,,,
8/19/20,84,,,,,,,,,
8/20/20,86,,,,,,,,,
8/21/20,88,,,,,,,,,
8/22/20,89,,,,,,,,,
8/23/20,92,,,,,,,,,
8/24/20,97,,,,,,,,,
8/25/20,91,,,,,,,,,
8/26/20,94,,,,,,,,,
8/27/20,95,,,,,,,,,
8/28/20,95,,,,,,,,,
8/29/20,82,,,,,,,,,
8/30/20,79,,,,,,,,,
8/31/20,85,,,,,,,,,
9/1/20,75,,,,,,,,,
9/2/20,88,,,,,,,,,
9/3/20,88,,,,,,,,,
9/4/20,80,,,,,,,,,
9/5/20,82,,,,,,,,,
9/6/20,83,,,,,,,,,
9/7/20,80,,,,,,,,,
9/8/20,65,,,,,,,,,
9/9/20,64,,,,,,,,,
9/10/20,68,,,,,,,,,
9/11/20,68,,,,,,,,,
9/12/20,73,,,,,,,,,
9/13/20,77,,,,,,,,,
9/14/20,77,,,,,,,,,
9/15/20,79,,,,,,,,,
9/16/20,84,,,,,,,,,
9/17/20,69,,,,,,,,,
9/18/20,61,,,,,,,,,
9/19/20,67,,,,,,,,,
9/20/20,73,,,,,,,,,
9/21/20,75,,,,,,,,,
9/22/20,79,,,,,,,,,
9/23/20,79,,,,,,,,,
9/24/20,79,,,,,,,,,
9/25/20,80,,,,,,,,,
9/26/20,79,,,,,,,,,
9/27/20,77,,,,,,,,,
9/28/20,63,,,,,,,,,
9/29/20,60,,,,,,,,,
9/30/20,67,,,,,,,,,
10/1/20,59,,,,,,,,,
10/2/20,55,,,,,,,,,
10/3/20,56,,,,,,,,,
10/4/20,57,,,,,,,,,
10/5/20,63,,,,,,,,,
10/6/20,75,,,,,,,,,
10/7/20,76,,,,,,,,,
10/8/20,70,,,,,,,,,
10/9/20,82,,,,,,,,,
10/10/20,77,,,,,,,,,
10/11/20,69,,,,,,,,,
10/12/20,67,,,,,,,,,
10/13/20,73,,,,,,,,,
10/14/20,79,,,,,,,,,
10/15/20,64,,,,,,,,,
10/16/20,53,,,,,,,,,
10/17/20,65,,,,,,,,,
10/18/20,60,,,,,,,,,
10/19/20,50,,,,,,,,,
10/20/20,53,,,,,,,,,
10/21/20,59,,,,,,,,,
10/22/20,78,,,,,,,,,
10/23/20,72,,,,,,,,,
10/24/20,49,,,,,,,,,
10/25/20,47,,,,,,,,,
10/26/20,39,,,,,,,,,
10/27/20,38,,,,,,,,,
10/28/20,51,,,,,,,,,
10/29/20,49,,,,,,,,,
10/30/20,44,,,,,,,,,
10/31/20,59,,,,,,,,,
4/1/21,40,,,,,,,,,
4/2/21,51,,,,,,,,,
4/3/21,71,,,,,,,,,
4/4/21,76,,,,,,,,,
4/5/21,76,,,,,,,,,
4/6/21,81,,,,,,,,,
4/7/21,82,,,,,,,,,
4/8/21,69,,,,,,,,,
4/9/21,62,,,,,,,,,
4/10/21,55,,,,,,,,,
4/11/21,56,,,,,,,,,
4/12/21,62,,,,,,,,,
4/13/21,54,,,,,,,,,
4/14/21,51,,,,,,,,,
4/15/21,56,,,,,,,,,
4/16/21,57,,,,,,,,,
4/17/21,56,,,,,,,,,
4/18/21,62,,,,,,,,,
4/19/21,52,,,,,,,,,
4/20/21,43,,,,,,,,,
4/21/21,50,,,,,,,,,
4/22/21,60,,,,,,,,,
4/23/21,62,,,,,,,,,
4/24/21,64,,,,,,,,,
4/25/21,47,,,,,,,,,
4/26/21,79,,,,,,,,,
4/27/21,87,,,,,,,,,
4/28/21,51,,,,,,,,,
4/29/21,71,,,,,,,,,
4/30/21,56,,,,,,,,,
5/1/21,85,,,,,,,,,
5/2/21,85,,,,,,,,,
5/3/21,73,,,,,,,,,
5/4/21,58,,,,,,,,,
5/5/21,61,,,,,,,,,
5/6/21,56,,,,,,,,,
5/7/21,60,,,,,,,,,
5/8/21,54,,,,,,,,,
5/9/21,57,,,,,,,,,
5/10/21,52,,,,,,,,,
5/11/21,56,,,,,,,,,
5/12/21,62,,,,,,,,,
5/13/21,70,,,,,,,,,
5/14/21,71,,,,,,,,,
5/15/21,62,,,,,,,,,
5/16/21,72,,,,,,,,,
5/17/21,70,,,,,,,,,
5/18/21,76,,,,,,,,,
5/19/21,75,,,,,,,,,
5/20/21,86,,,,,,,,,
5/21/21,86,,,,,,,,,
5/22/21,88,,,,,,,,,
5/23/21,82,,,,,,,,,
5/24/21,90,,,,,,,,,
5/25/21,85,,,,,,,,,
5/26/21,82,,,,,,,,,
5/27/21,59,,,,,,,,,
5/28/21,49,,,,,,,,,
5/29/21,60,,,,,,,,,
5/30/21,69,,,,,,,,,
5/31/21,70,,,,,,,,,
6/1/21,77,,,,,,,,,
6/2/21,78,,,,,,,,,
6/3/21,87,,,,,,,,,
6/4/21,91,,,,,,,,,
6/5/21,92,,,,,,,,,
6/6/21,89,,,,,,,,,
6/7/21,80,,,,,,,,,
6/8/21,91,,,,,,,,,
6/9/21,89,,,,,,,,,
6/10/21,90,,,,,,,,,
6/11/21,92,,,,,,,,,
6/12/21,93,,,,,,,,,
6/13/21,87,,,,,,,,,
6/14/21,83,,,,,,,,,
6/15/21,77,,,,,,,,,
6/16/21,77,,,,,,,,,
6/17/21,88,,,,,,,,,
6/18/21,90,,,,,,,,,
6/19/21,90,,,,,,,,,
6/20/21,82,,,,,,,,,
6/21/21,72,,,,,,,,,
6/22/21,73,,,,,,,,,
6/23/21,79,,,,,,,,,
6/24/21,76,,,,,,,,,
6/25/21,77,,,,,,,,,
6/26/21,82,,,,,,,,,
6/27/21,83,,,,,,,,,
6/28/21,82,,,,,,,,,
6/29/21,84,,,,,,,,,
6/30/21,83,,,,,,,,,
7/1/21,76,,,,,,,,,
7/2/21,73,,,,,,,,,
7/3/21,86,,,,,,,,,
7/4/21,89,,,,,,,,,
7/5/21,91,,,,,,,,,
7/6/21,91,,,,,,,,,
7/7/21,89,,,,,,,,,
7/8/21,68,,,,,,,,,
7/9/21,76,,,,,,,,,
7/10/21,76,,,,,,,,,
7/11/21,71,,,,,,,,,
7/12/21,74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,\
